,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Formatted address,User Ratings Total
0,Campaspe Park Recreation Reserve,ChIJxeOo-c8d12oRJZNWL7QvtXc,-37.3568333,144.5332913,5.0,"['park', 'point_of_interest', 'establishment']",Woodend,,4
1,Stanley Park,ChIJ____i5vi1moRLIV5lPGow8k,-37.4062539,144.5803698,4.1,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Stanley Park, Mount Macedon",,78
2,Corinella Park,ChIJ75eqtQId12oRKwBTan8RZaM,-37.3593213,144.5235284,4.0,"['park', 'point_of_interest', 'establishment']","Corinella Rd, Woodend",,1
3,Water Reserve,ChIJM38IMA8d12oRtwy5kY2HX5Y,-37.3685955,144.5412538,4.0,"['park', 'point_of_interest', 'establishment']","143 Quarry Rd, Woodend",,1
4,Ruby McKenzie Park,ChIJ7fh7eckd12oRgWoupT_Sg5k,-37.3526344,144.5406005,4.4,"['park', 'point_of_interest', 'establishment']",Woodend,,5
5,Macedon Regional Park,ChIJjQ1XOUEd12oR8ONCFKV5BQ8,-37.3858262,144.5764684,4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","Memorial Cross, Mount Macedon",,476
6,Green space,ChIJMZGE9dgd12oRfyZf5Tg55NU,-37.3559722,144.5233729,0.0,"['park', 'point_of_interest', 'establishment']","5 Burke St, Woodend",,0
7,Ash Wednesday Park,ChIJbaI_uVni1moRcLhCFKV5BQ8,-37.4214936,144.5621116,4.3,"['park', 'point_of_interest', 'establishment']","50 Smith St, Macedon",,21
8,Lagoon Park,ChIJ45Ud5hvi1moR_qIw81k41WM,-37.3968842,144.5283698,3.5,"['park', 'point_of_interest', 'establishment']",Woodend,,8
9,Sanatorium Lake Nature Walk,ChIJTaBQ-NUC12oRnoq7yOJr9sc,-37.3755908,144.6144386,4.6,"['park', 'point_of_interest', 'establishment']","Unnamed Road, Mount Macedon",,25
10,Viewfield,ChIJWYvzQZ7i1moR2_-kVHzmfn8,-37.4039168,144.5852122,4.7,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","651 Mount Macedon Rd, Mount Macedon",,13
11,Macedon Caravan Park,ChIJZ111sazj1moRnWtx00KouE4,-37.4312266,144.5588146,3.0,"['campground', 'rv_park', 'lodging', 'park', 'point_of_interest', 'establishment']","324 Black Forest Dr, Macedon",,47
12,The Avenue Of Honour,ChIJXZnGyWAd12oRQNSKY46LvqQ,-37.3332535,144.5255634,0.0,"['park', 'point_of_interest', 'establishment']","Ave of Honour, Woodend North",,0
13,Bolobek,ChIJVeRQksLi1moRZe61QfYrH9w,-37.4256176,144.5805006,4.8,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","370 Mount Macedon Rd, Mount Macedon",,9
14,f枫叶,ChIJbwhEjkMd12oR9RaDtwrvq7w,-37.3929331,144.5924714,4.2,"['park', 'point_of_interest', 'establishment']","Mount Macedon Rd, Mount Macedon",,6
15,Black Forest,ChIJRa2Gth7i1moRe9sIBefYzVo,-37.3979749,144.5269211,4.0,"['park', 'point_of_interest', 'establishment']",Woodend,,4
16,Woodend Children's Park,ChIJR2buZNAd12oRhYUXR8okdZE,-37.355353,144.530478,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']","12 Nicholson St, Woodend",,227
17,Hanging Rock,ChIJoej2uFgb12oRpO5YTGZUJXA,-37.334892,144.5944289,4.6,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","139 S Rock Rd, Woodend",,2849
18,Camels Hump Carpark,ChIJKzZ1XyYd12oRkd4PbQ_gDpI,-37.3724801,144.5958716,4.3,"['parking', 'tourist_attraction', 'point_of_interest', 'establishment']","3441/409 Cameron Dr, Mount Macedon",,83
19,Five Mile Creek Reserve,ChIJveJU588d12oRFFviFcO0ZlM,-37.35481559999999,144.5402765,4.1,"['park', 'point_of_interest', 'establishment']",Woodend,,15
